journal	year	authors	title	language	wordcount	doctype	doi	citation_counts	S2titles	S2years	condition	matchstrength	S2journal	S2authors	new_cite_count
The Modern Language Review	2004	['Jeremy Hicks']	Review Article	['eng']	756	article | book-review	10.2307/3738605	38	Visions of a New Land: Soviet Film from the Revolution to the Second World War		not citable	0.0	NA	NA	38
The Modern Language Review	2005	['Nicole Fayard']	Review Article	['eng']	512	article | book-review	10.2307/3739170	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1958	['Roger Sharrock']	Review Article	['eng']	986	article | book-review	10.2307/511286	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1969	['J. Ann Duncan']	Review Article	['eng']	2570	article | book-review	10.2307/3723974	0	Rimbaud: A Critical Study@@@Rimbaud: Complete Works and Selected Letters	1969-10-01	not citable	0.0	NA	NA	0
The Modern Language Review	1974	['P. E. Russell']	Review Article	['eng']	1985	article | book-review	10.2307/3724634	1	Cervantes, Aristotle and the 'Persiles'	1974-04-01	not citable	0.0	NA	NA	1
The Modern Language Review	1977	['Margaret B. Wells']	Review Article	['eng']	1211	article | book-review	10.2307/3724725	1	Du Bellay: Ses 'Regrets' qu'il fit dans Rome	1977-10-01	not citable	0.0	NA	NA	1
The Review of English Studies	2006	['Andrew Michael Roberts']	Review Article	['eng']	1155	article | book-review	10.2307/4501557	0		no date	not citable	0.0	NA	NA	0
PMLA	1943	['Hoyt Trowbridge']	Bishop Hurd: A Reinterpretation	['eng']	7632	article | research-article	10.2307/459054	3	Bishop Hurd: A Reinterpretation	1943-06-01	already found	0.0	NA	NA	3
The Modern Language Review	2004	['David Midgley']	Review Article	['eng']	1354	article | book-review	10.2307/3738584	2	Engagierte Literatur zwischen den Weltkriegen	2004-10-01	not citable	0.0	NA	NA	2
Modern Philology	1944	['André von Gronicka']	Review Article	['eng']	1464	article | book-review	10.2307/434513	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1957	['C. A. Hackett']	Review Article	['eng']	605	article | book-review	10.2307/510259	0		no date	not citable	0.0	NA	NA	0
New Literary History	2009	['Hélène Cixous', 'Laurent Milesi']	Tribute to Ralph Cohen	['eng']	974	article | misc	10.2307/40666441	0	Tribute to Ralph Cohen	2010	found	1.1	New Literary History	Helen Cixous : Laurent Milesi	1
PMLA	1937	['Florence R. Scott']	Sir Robert Howard as a Financier	['eng']	2771	article | research-article	10.2307/458504	1	Sir Robert Howard as a Financier	1937-12-01	already found	0.0	NA	NA	1
The Review of English Studies	1982	['A. F. T. Lurcock']	Review Article	['eng']	1006	article | book-review	10.2307/517230	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2001	['Susana Lorenzo Zamorano']	Review Article	['eng']	1777	article | book-review	10.2307/3737446	37	Contemporary Spanish Cultural Studies	2001-04-01	not citable	0.0	NA	NA	37
The Modern Language Review	1973	['D. S. Brewer']	Review Article	['eng']	3263	article | book-review	10.2307/3725005	32	Blind Beasts: Chaucer's Animal World		not citable	0.0	NA	NA	32
ELH	1982	['anonymous']	Volume Information	['eng']	570	article | misc	10.2307/2872893	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1985	"[""John H. O'Neill""]"	Edward Hyde, Heneage Finch, and the Duke of Buckingham's Commonplace Book	['eng']	2211	article | research-article	10.2307/437409	0	Edward Hyde, Heneage Finch, and the Duke of Buckingham's Commonplace Book	1985	found	1.12	Modern Philology	J. H. O'Neill	1
The Review of English Studies	1985	['David Norbrook']	Review Article	['eng']	1915	article | book-review	10.2307/516713	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2007	['Hilda M. Brown']	Review Article	['eng']	925	article | book-review	10.2307/20467600	6	Die Entdeckung Shakespeares auf der deutschen Bühne des 18. Jahrhunderts : Adaption und Wirkung der Vermittlung auf dem Theater	2007-10-01	not citable	0.0	NA	NA	6
Critical Inquiry	2014	['Giorgio Agamben', 'Kalpana Seshadri']	Vocation and Voice	['eng']	4393	article | research-article	10.1086/674125	4	Vocation and Voice	2014-01-01	already found	0.0	NA	NA	4
Modern Philology	2010	['Cynthia J. Neville']	Review Article	['eng']	897	article | research-article	10.1086/651438	0	Hunting Law and Ritual in Medieval English Literature. William Perry Marvin. Cambridge: D. S. Brewer, 2006. Pp. ix+198.	2010-05-01	not citable	0.0	NA	NA	0
The Modern Language Review	2007	['Kate McLuskie']	Review Article	['eng']	653	article | book-review	10.2307/20467305	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1971	['David Baguley']	The Function of Zola's Souvarine	['eng']	7389	article | research-article	10.2307/3722983	3	The Function of Zola's Souvarine	1971-10-01	already found	0.0	NA	NA	3
Modern Philology	1950	['E. K. Brown']	Review Article	['eng']	513	article | book-review	10.2307/435293	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1916	['Charles H. Handschin']	Goethe und die bildende Kunst: Spätere Kunstbestrebungen, und Schlusz	['ger']	4181	article | research-article	10.2307/432996	0	Goethe und die bildende Kunst: Spätere Kunstbestrebungen, und Schlusz	1916	found	1.12	Modern Philology	C. H. Handschin	0
Modern Philology	1936	['Ira Wade']	Poems Attributed to Voltaire	['eng']	4383	article | research-article	10.2307/434495	0	Poems Attributed to Voltaire	1936	found	1.12	Modern Philology	I. Wade	0
The Review of English Studies	1950	['F. N. Lees']	Coriolanus, Aristotle, and Bacon	['eng']	5648	article | research-article	10.2307/510609	0	CORIOLANUS, ARISTOTLE, AND BACON	1950	found	1.0	no journal listed	F. N. Lees	0
The Modern Language Review	1983	['Gordon Williams']	The Coming of Age of Shakespeare's Adonis	['eng']	4974	article | research-article	10.2307/3729488	0	The Coming of Age of Shakespeare's Adonis	1983	found	1.0	Modern Language Review	Gordon Williams	0
The Review of English Studies	1979	['P. M. S. Dawson']	Review Article	['eng']	1066	article | book-review	10.2307/514347	0		no date	not citable	0.0	NA	NA	0
PMLA	2006	['Astrid Henry']	Feminist Deaths and Feminism Today	['eng']	2769	article | research-article	10.2307/25501652	0	Feminist Deaths and Feminism Today	2006	found	1.12	PMLA/Publications of the Modern Language Association of America	A. Henry	7
The Modern Language Review	2007	['Jeffrey L. Sammons']	Review Article	['eng']	1161	article | book-review	10.2307/20467604	5	Musealer Historismus: Die Gegenwart des Vergangenen bei Stifter, Keller und Raabe by Katharina Grätz (review)	2007-10-01	not citable	0.0	NA	NA	5
Critical Inquiry	2012	['Mark McGurl']	The Posthuman Comedy	['eng']	10066	article | research-article	10.1086/664550	94	The Posthuman Comedy	2012-03-01	already found	0.0	NA	NA	94
PMLA	1944	['William A. Nitze']	Goethe and Ronsard	['eng']	1738	article | research-article	10.2307/459340	0	Goethe and Ronsard	1944	found	1.12	PMLA/Publications of the Modern Language Association of America	W. A. Nitze	0
Modern Philology	1930	['George W. Whiting']	Political Satire in London Stage Plays, 1680-83	['eng']	6502	article | research-article	10.2307/433232	0	Political Satire in London Stage Plays, 1680-83	1930	found	1.12	Modern Philology	G. Whiting	1
The Modern Language Review	1975	['D. H. Green']	Review Article	['eng']	600	article | book-review	10.2307/3725720	0	"Das Gottes- und Menschenbild Wolframs im ""Parzival"""	1975-10-01	not citable	0.0	NA	NA	0
New Literary History	2000	['anonymous']	Books Received	['eng']	931	article | misc	10.2307/20057622	0		no date	not citable	0.0	NA	NA	0
ELH	1980	['David Bergman']	Browning's Monologues and the Development of the Soul	['eng']	6282	article | research-article	10.2307/2872859	3	Browning's Monologues and the Development of the Soul	1980-01-24	already found	0.0	NA	NA	3
The Review of English Studies	1997	['Michael Bath']	Review Article	['eng']	783	article | book-review	10.2307/518517	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1926	['Dorothy Schons']	Some Obscure Points in the Life of Sor Juana Inés De La Cruz	['eng']	9770	article | research-article	10.2307/433807	0	Some Obscure Points in the Life of Sor Juana Inés De La Cruz	1926	found	1.12	Modern Philology	Dorothy Schons	30
The Review of English Studies	1986	['David R. Sorensen']	Review Article	['eng']	1216	article | book-review	10.2307/516132	0		no date	not citable	0.0	NA	NA	0
PMLA	1985	['anonymous']	Professional Notes and Comment	['eng']	2752	article | misc	10.2307/462295	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1979	['Carol Thomas Neely']	Review Article	['eng']	2243	article | book-review	10.2307/437513	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1966	['R. S. Lucas']	Review Article	['eng']	1096	article | book-review	10.2307/3724099	5	The novels of Hermann Hesse		not citable	0.0	NA	NA	5
The Modern Language Review	1957	['W. D. Williams']	Review Article	['eng']	1215	article | book-review	10.2307/3719155	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1986	['Willard F. King']	Review Article	['eng']	1633	article | book-review	10.2307/437394	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1969	['R. George Thomas']	Review Article	['eng']	941	article | book-review	10.2307/512985	0		no date	not citable	0.0	NA	NA	0
PMLA	2010	['ANNAMARIE JAGOSE']	Thinkiest	['eng']	2280	article | research-article	10.2307/25704433	0	Thinkiest	2010	found	1.02	PMLA/Publications of the Modern Language Association of America	Annamarie Jagose	13
The Review of English Studies	1958	['John Butt']	Review Article	['eng']	1148	article | book-review	10.2307/511285	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	2001	['Jennifer Wallace']	Review Article	['eng']	1167	article | book-review	10.2307/3070466	0		no date	not citable	0.0	NA	NA	0
ELH	1940	['Leon Howard']	Literature and the Frontier: The Case of Sally Hastings	['eng']	5552	article | research-article	10.2307/2871676	0	Literature and the Frontier: The Case of Sally Hastings	1940	found	1.0	no journal listed	L. Howard	0
ELH	1972	['Arthur F. Marotti']	All About Jonson's Poetry	['eng']	12608	article | research-article	10.2307/2872243	12	All About Jonson's Poetry	1972-06-01	already found	0.0	NA	NA	12
The Modern Language Review	1943	['J. O. Bartley']	The Development of a Stock Character II. The Stage Scotsman; III. The Stage Welshman (To 1800)	['eng']	6521	article | research-article	10.2307/3717541	1	The Development of a Stock Character II. The Stage Scotsman; III. The Stage Welshman (To 1800)	1943-10-01	already found	0.0	NA	NA	1
Modern Philology	1975	['Howard D. Weinbrot']	"John Clarke's ""Essay on Study"" and Samuel Johnson on ""Paradise Lost"""	['eng']	2004	article | research-article	10.2307/436872	0	"John Clarke's ""Essay on Study"" and Samuel Johnson on ""Paradise Lost"""	1975	found	1.12	Modern Philology	H. Weinbrot	1
The Modern Language Review	1919	['anonymous']	Front Matter	['eng']	347	article | misc	10.2307/4623454	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1967	['Robert O. Weiss']	Review Article	['eng']	917	article | book-review	10.2307/436685	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1929	['Mabel Day']	Review Article	['eng']	786	article | book-review	10.2307/508571	0		no date	not citable	0.0	NA	NA	0
New Literary History	2002	['Claire Colebrook']	The Politics and Potential of Everyday Life	['eng']	9546	article | research-article	10.2307/20057751	0	The Politics and Potential of Everyday Life: On the Very Concept of Everyday Life	2002	found	1.0447311827956989	New Literary History	C. Colebrook	35
The Review of English Studies	2015	['MARCUS TOMALIN']	THE INTRIGUING COMPLICATIONS OF POCKET WATCHES IN THE LITERATURE OF THE LONG EIGHTEENTH CENTURY	['eng']	10446	article | research-article	10.2307/24541234	0	The Intriguing Complications of Pocket Watches in the Literature of the Long Eighteenth Century	2015	found	1.12	The Review of English Studies	M. Tomalin	4
The Modern Language Review	1987	['J. A. Dunn']	Review Article	['eng']	1237	article | book-review	10.2307/3728524	2	The Morphology of Aspect in Seventeenth-Century Russian (Based on the Texts of the Smutnoe Vremja)	1987-04-01	not citable	0.0	NA	NA	2
The Modern Language Review	1951	['Enriqueta Harris']	Review Article	['eng']	1249	article | book-review	10.2307/3719577	4	Las Cantigas. Estudio arqueologico de sus miniaturas		not citable	0.0	NA	NA	4
The Review of English Studies	1953	['G. D. Willcock']	Review Article	['eng']	752	article | book-review	10.2307/510650	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1949	['Yakov Malkiel']	"The Etymology of Hispanic ""Churniego"", ""Churriego"", ""Chorniega"""	['eng']	1716	article | research-article	10.2307/3717657	0	"The Etymology of Hispanic ""Churniego"", ""Churriego"", ""Chorniega"""	1949	found	1.0	Modern Language Review	Y. Malkiel	0
ELH	2014	['MARY JEAN CORBETT']	"NO SECOND FRIEND?: PERPETUAL MAIDENHOOD AND SECOND MARRIAGE IN ""IN MEMORIAM"" AND ""THE CONJUGIAL ANGEL"""	['eng']	10834	article | research-article	10.2307/24475596	0	"No Second Friend?: Perpetual Maidenhood and Second Marriage in In Memoriam and ""The Conjugial Angel"""	2014	found	1.12	ELH	M. Corbett	2
Critical Inquiry	2011	['Leo Bersani']	“Ardent Masturbation” (Descartes, Freud, and                     Others)	['eng']	7126	article | research-article	10.1086/661642	18	“Ardent Masturbation” (Descartes, Freud, and Others)	2011-09-01	already found	0.0	NA	NA	18
The Review of English Studies	1996	['Douglas Hewitt']	Review Article	['eng']	602	article | book-review	10.2307/517995	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1962	['Alice Walker']	Review Article	['eng']	507	article | book-review	10.2307/512609	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1969	['Ross Garner']	Review Article	['eng']	1117	article | book-review	10.2307/436179	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1952	['Norman Davis']	Review Article	['eng']	1052	article | book-review	10.2307/511151	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2007	['Anne Fuchs']	Review Article	['eng']	762	article | book-review	10.2307/20467518	0	Vier große galizische Erzähler im Exil: H. W. Katz, Soma Morgenstern, Manès Sperber und Joseph Roth	2007-07-01	not citable	0.0	NA	NA	0
The Modern Language Review	1998	['Donald E. Hall']	Review Article	['eng']	1142	article | book-review	10.2307/3733668	0		no date	not citable	0.0	NA	NA	0
PMLA	2013	['SARAH POLLACK']	After Bolaño: Rethinking the Politics of Latin American Literature in Translation	['eng']	5299	article | research-article	10.2307/23489303	0	After Bolaño: Rethinking the Politics of Latin American Literature in Translation	2013	found	1.12	PMLA/Publications of the Modern Language Association of America	S. Pollack	8
The Modern Language Review	1952	['H. Roddier']	Review Article	['eng']	1282	article | book-review	10.2307/3718826	13	Conservative England and the Case against Voltaire	1952-04-01	not citable	0.0	NA	NA	13
The Modern Language Review	1967	['anonymous']	Front Matter	['eng']	1650	article | misc	10.2307/3723082	0		no date	not citable	0.0	NA	NA	0
PMLA	1941	['Erich Auerbach']	Passio Als Leidenschaft	['ger']	7981	article | research-article	10.2307/459027	14	Passio Als Leidenschaft	1941-12-01	already found	0.0	NA	NA	14
The Modern Language Review	1982	['anonymous']	Front Matter	['eng']	3963	article | misc	10.2307/3726495	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1970	['L. P. Harvey']	Review Article	['eng']	2106	article | book-review	10.2307/3722835	2	El arte juglaresco en el 'Cantar de Mio Cid'		not citable	0.0	NA	NA	2
Modern Philology	2000	['Pierre A. Walker']	Review Article	['eng']	1786	article | book-review	10.2307/439323	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1992	['Alan Ward']	Review Article	['eng']	707	article | book-review	10.2307/517714	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1985	['Fram Dinshaw']	Review Article	['eng']	1853	article | book-review	10.2307/516869	0		no date	not citable	0.0	NA	NA	0
PMLA	1979	['Nina Baym']	Melville's Quarrel with Fiction	['eng']	11495	article | research-article	10.2307/461973	72	Melville's Quarrel with Fiction	1979-10-01	already found	0.0	NA	NA	72
PMLA	1985	['anonymous']	Reports of the Regional Modern Language Associations	['eng']	4674	article | misc	10.2307/462253	0		no date	not citable	0.0	NA	NA	0
