author,data
['W. B. Gates'],Result for ['W. B. Gates']
['L. R. Muir'],Result for ['L. R. Muir']
['David Heald'],Result for ['David Heald']
['KAITLIN P. WALKER'],Result for ['KAITLIN P. WALKER']
['James Grantham Turner'],Result for ['James Grantham Turner']
['Newton S. Bement'],Result for ['Newton S. Bement']
['Roy M. Liuzza'],Result for ['Roy M. Liuzza']
['Taylor Stoehr'],Result for ['Taylor Stoehr']
['W. S. Hendrix'],Result for ['W. S. Hendrix']
['MARTIN WILLIS'],Result for ['MARTIN WILLIS']
['Ruth J. Dean'],Result for ['Ruth J. Dean']
['Ketu H. Katrak'],Result for ['Ketu H. Katrak']
['ANINDITA BANERJEE'],Result for ['ANINDITA BANERJEE']
['Claude Schumacher'],Result for ['Claude Schumacher']
['R. J. McClean'],Result for ['R. J. McClean']
['K. P. CLARKE'],Result for ['K. P. CLARKE']
['Nicolle Jordan'],Result for ['Nicolle Jordan']
['Theodoor Weevers'],Result for ['Theodoor Weevers']
 susan fraiman,Result for  susan fraiman
['Sandra Bialystok'],Result for ['Sandra Bialystok']
['JAN SUSINA'],Result for ['JAN SUSINA']
['Laura Brown'],Result for ['Laura Brown']
['Stephen Gill'],Result for ['Stephen Gill']
['Duncan F. Kennedy'],Result for ['Duncan F. Kennedy']
['Stanislaw Baranczak'],Result for ['Stanislaw Baranczak']
['Rosalind Brown-Grant'],Result for ['Rosalind Brown-Grant']
['DANIEL KANE'],Result for ['DANIEL KANE']
['I. Jackson'],Result for ['I. Jackson']
['DAVID J. BAKER'],Result for ['DAVID J. BAKER']
['Elizabeth Heckendorn Cook'],Result for ['Elizabeth Heckendorn Cook']
['Joëlle Papillon'],Result for ['Joëlle Papillon']
['Claire Lynch'],Result for ['Claire Lynch']
['Helen Baron'],Result for ['Helen Baron']
['Lawrence Babb'],Result for ['Lawrence Babb']
['A. Goodall'],Result for ['A. Goodall']
['Anna Magdalena Elsner'],Result for ['Anna Magdalena Elsner']
['C. S. L. Davies'],Result for ['C. S. L. Davies']
['A. Joanna Partridge'],Result for ['A. Joanna Partridge']
['J. William Hebel'],Result for ['J. William Hebel']
['Adrian Streete'],Result for ['Adrian Streete']
['Ian Hunter'],Result for ['Ian Hunter']
['Oscar James Campbell'],Result for ['Oscar James Campbell']
['Walter Jackson Bate'],Result for ['Walter Jackson Bate']
['Allen Walker Read'],Result for ['Allen Walker Read']
['RAE GREINER'],Result for ['RAE GREINER']
['Guy Stern'],Result for ['Guy Stern']
['Jutta Fortin'],Result for ['Jutta Fortin']
['B. R. Jerman'],Result for ['B. R. Jerman']
['Margaret Homans'],Result for ['Margaret Homans']
['Tracy Fessenden'],Result for ['Tracy Fessenden']
['John E. Jordan'],Result for ['John E. Jordan']
['John Cummins'],Result for ['John Cummins']
['W. G. Hiscock'],Result for ['W. G. Hiscock']
['A. A. Gay'],Result for ['A. A. Gay']
['Stephen Tunnicliffe'],Result for ['Stephen Tunnicliffe']
['E. Moore'],Result for ['E. Moore']
['Christiane von Buelow'],Result for ['Christiane von Buelow']
['Donald J. Childs'],Result for ['Donald J. Childs']
['Keith Walker'],Result for ['Keith Walker']
['NATALIA CECIRE'],Result for ['NATALIA CECIRE']
['Saba Mahmood'],Result for ['Saba Mahmood']
['A. E. Dyson'],Result for ['A. E. Dyson']
['K. R. Aspley'],Result for ['K. R. Aspley']
['BARBARA ESTERMANN'],Result for ['BARBARA ESTERMANN']
['David Rosand'],Result for ['David Rosand']
['F. M. Salter'],Result for ['F. M. Salter']
['Elio Gianturco'],Result for ['Elio Gianturco']
['MARY KATE HURLEY'],Result for ['MARY KATE HURLEY']
['R. E. Neil Dodge'],Result for ['R. E. Neil Dodge']
['J. R. Brewer'],Result for ['J. R. Brewer']
['Genevieve W. Foster'],Result for ['Genevieve W. Foster']
['Edmund de Chasca'],Result for ['Edmund de Chasca']
['Antony Hammond'],Result for ['Antony Hammond']
 ben d kimpel,Result for  ben d kimpel
['T. J. Field'],Result for ['T. J. Field']
['Jonathan F. S. Post'],Result for ['Jonathan F. S. Post']
['Ninon Leader'],Result for ['Ninon Leader']
['Martin Cohen'],Result for ['Martin Cohen']
['Ruth Lee Kennedy'],Result for ['Ruth Lee Kennedy']
['C. E. J. Caldicott'],Result for ['C. E. J. Caldicott']
['Catherine Keen'],Result for ['Catherine Keen']
['Alda Milner-Barry'],Result for ['Alda Milner-Barry']
['Peter Stallybrass'],Result for ['Peter Stallybrass']
['Rima Drell Reck'],Result for ['Rima Drell Reck']
['Allan H. MacLaine'],Result for ['Allan H. MacLaine']
['John Frankis'],Result for ['John Frankis']
['Tom Lawrenson'],Result for ['Tom Lawrenson']
['William G. Crane'],Result for ['William G. Crane']
['Russell Cousins'],Result for ['Russell Cousins']
['T. V. Benn'],Result for ['T. V. Benn']
['ANITA NORICH'],Result for ['ANITA NORICH']
['Hubert H. Hoeltje'],Result for ['Hubert H. Hoeltje']
['Bertha-Monica Stearns'],Result for ['Bertha-Monica Stearns']
['Marian G. R. Coope'],Result for ['Marian G. R. Coope']
['James Helgeson'],Result for ['James Helgeson']
['Diana Holmes'],Result for ['Diana Holmes']
 layeh a bock,Result for  layeh a bock
['Thomas C. Moser'],Result for ['Thomas C. Moser']
['Martin Roth'],Result for ['Martin Roth']
['Guido Rings'],Result for ['Guido Rings']
['Mary Augusta Scott'],Result for ['Mary Augusta Scott']
['Ann Caesar'],Result for ['Ann Caesar']
['Edith Wardale'],Result for ['Edith Wardale']
['Michael Geyer'],Result for ['Michael Geyer']
['Mary Christopher Pecheux'],Result for ['Mary Christopher Pecheux']
['C. A. Roe'],Result for ['C. A. Roe']
['P. H. Boynton'],Result for ['P. H. Boynton']
['Sally Harvey'],Result for ['Sally Harvey']
['Warren Ginsberg'],Result for ['Warren Ginsberg']
['Guy Davenport'],Result for ['Guy Davenport']
['Graham Davidson'],Result for ['Graham Davidson']
['Karla Mallette'],Result for ['Karla Mallette']
 evelyn simpson,Result for  evelyn simpson
['Nigel Saint'],Result for ['Nigel Saint']
['Jerrold R. Zacharias'],Result for ['Jerrold R. Zacharias']
['W. Kurrelmeyer'],Result for ['W. Kurrelmeyer']
['Richard Jente'],Result for ['Richard Jente']
['Philip W. Martin'],Result for ['Philip W. Martin']
['Kent R. Lehnhof'],Result for ['Kent R. Lehnhof']
['Andrea Most'],Result for ['Andrea Most']
['B. D. Greenslade'],Result for ['B. D. Greenslade']
['GREGORY KNEIDEL'],Result for ['GREGORY KNEIDEL']
['E. J. Dubedout'],Result for ['E. J. Dubedout']
['William Henry Schofield'],Result for ['William Henry Schofield']
['C. B. Jones'],Result for ['C. B. Jones']
['Michael R. Molino'],Result for ['Michael R. Molino']
['W. H. G. Armytage'],Result for ['W. H. G. Armytage']
['Gilbert Chinard'],Result for ['Gilbert Chinard']
['Lance Butler'],Result for ['Lance Butler']
['Yael S. Feldman'],Result for ['Yael S. Feldman']
['Michael Nicholson'],Result for ['Michael Nicholson']
['Alfred D. Menut'],Result for ['Alfred D. Menut']
['Susan Eilenberg'],Result for ['Susan Eilenberg']
['VIMALA C. PASUPATHI'],Result for ['VIMALA C. PASUPATHI']
['Alois Richard Nykl'],Result for ['Alois Richard Nykl']
['Bettie Anne Doebler'],Result for ['Bettie Anne Doebler']
 j t scanlan,Result for  j t scanlan
['James T. Boulton'],Result for ['James T. Boulton']
['Jordi Sánchez-Martí'],Result for ['Jordi Sánchez-Martí']
['Jon S. Lawry'],Result for ['Jon S. Lawry']
['Ruth K. McClure'],Result for ['Ruth K. McClure']
['Richard A. Wertime'],Result for ['Richard A. Wertime']
['William McCarthy'],Result for ['William McCarthy']
['V. Del Litto'],Result for ['V. Del Litto']
['Donald Mackenzie'],Result for ['Donald Mackenzie']
['Antonia Moreira Robriguez'],Result for ['Antonia Moreira Robriguez']
['Homer O. Brown'],Result for ['Homer O. Brown']
['T. R. Wright'],Result for ['T. R. Wright']
['Richard Jenkyns'],Result for ['Richard Jenkyns']
 thomas d hill,Result for  thomas d hill
['Hugh Rorrison'],Result for ['Hugh Rorrison']
['E. D. H. Johnson'],Result for ['E. D. H. Johnson']
['Stephen Le Fleming'],Result for ['Stephen Le Fleming']
['Murray J. Evans'],Result for ['Murray J. Evans']
['John Howard Wills'],Result for ['John Howard Wills']
['G. Salemohamed'],Result for ['G. Salemohamed']
['DENISE CRUZ'],Result for ['DENISE CRUZ']
['Howard Needler'],Result for ['Howard Needler']
['Alice D. Snyder'],Result for ['Alice D. Snyder']
['Francis Higman'],Result for ['Francis Higman']
 stephanie foote,Result for  stephanie foote
['Ordelle G. Hill'],Result for ['Ordelle G. Hill']
['Amy Hollywood'],Result for ['Amy Hollywood']
['Harold F. Brooks'],Result for ['Harold F. Brooks']
['Anna Havinga'],Result for ['Anna Havinga']
['Helga Lénárt-Cheng'],Result for ['Helga Lénárt-Cheng']
['D. E. Rhodes'],Result for ['D. E. Rhodes']
['A. R. Braunmuller'],Result for ['A. R. Braunmuller']
 colin williamson,Result for  colin williamson
['Hans H. Andersen'],Result for ['Hans H. Andersen']
 w b worthen,Result for  w b worthen
['MICHAEL RABY'],Result for ['MICHAEL RABY']
['Morris Weitz'],Result for ['Morris Weitz']
['Marjorie G. Perloff'],Result for ['Marjorie G. Perloff']
['Sally McMullen'],Result for ['Sally McMullen']
['John N. Wall'],Result for ['John N. Wall']
['R. Warwick Bond'],Result for ['R. Warwick Bond']
['Jeremy S. Squires'],Result for ['Jeremy S. Squires']
['James E. Savage'],Result for ['James E. Savage']
['Maria Shevtsova'],Result for ['Maria Shevtsova']
['Sandra M. Gilbert'],Result for ['Sandra M. Gilbert']
 sylvan barnet,Result for  sylvan barnet
['J. E. Cross'],Result for ['J. E. Cross']
['Norbert Voorwinden'],Result for ['Norbert Voorwinden']
['MATTHEW MUTTER'],Result for ['MATTHEW MUTTER']
['Jean Catel'],Result for ['Jean Catel']
['Dorothea Berger'],Result for ['Dorothea Berger']
['A. Owen Aldridge'],Result for ['A. Owen Aldridge']
['G. L. Hendrickson'],Result for ['G. L. Hendrickson']
['Andrew Wright'],Result for ['Andrew Wright']
['Sinéad Mooney'],Result for ['Sinéad Mooney']
['Daniel Lea'],Result for ['Daniel Lea']
['Laura Bradley'],Result for ['Laura Bradley']
['Venetia Bridges'],Result for ['Venetia Bridges']
['John Hagan'],Result for ['John Hagan']
 christopher lee,Result for  christopher lee
['Jay Fliegelman'],Result for ['Jay Fliegelman']
['Walter Blair'],Result for ['Walter Blair']
['SARAH KNIGHT'],Result for ['SARAH KNIGHT']
['C. Grayson'],Result for ['C. Grayson']
['Marshall Lindsay'],Result for ['Marshall Lindsay']
 d r m wilkinson,Result for  d r m wilkinson
['C. C. Brown'],Result for ['C. C. Brown']
['Joseph Quincy Adams'],Result for ['Joseph Quincy Adams']
['Wilfred Lister'],Result for ['Wilfred Lister']
['ANADELI BENCOMO'],Result for ['ANADELI BENCOMO']
['Sarah Waters'],Result for ['Sarah Waters']
['Ralph Yarrow'],Result for ['Ralph Yarrow']
['J. M. Lindsay'],Result for ['J. M. Lindsay']
['KRISTIN F. SAMUELIAN'],Result for ['KRISTIN F. SAMUELIAN']
['John W. Velz'],Result for ['John W. Velz']
['D. J. Fletcher'],Result for ['D. J. Fletcher']
['Ants Oras'],Result for ['Ants Oras']
['Aaron Fogel'],Result for ['Aaron Fogel']
['Talbot J. Taylor'],Result for ['Talbot J. Taylor']
['George K. Anderson'],Result for ['George K. Anderson']
['Matthew Dimmock'],Result for ['Matthew Dimmock']
['Betty Hill'],Result for ['Betty Hill']
['Valerie Traub'],Result for ['Valerie Traub']
['Tamara Follini'],Result for ['Tamara Follini']
['PAUL K. SAINT-AMOUR'],Result for ['PAUL K. SAINT-AMOUR']
['Sidonie Cassirer'],Result for ['Sidonie Cassirer']
['Michael J. Giordano'],Result for ['Michael J. Giordano']
['J. M. Ruano de la Haza'],Result for ['J. M. Ruano de la Haza']
['Robert S. Nelson'],Result for ['Robert S. Nelson']
 heinrich henel,Result for  heinrich henel
['Algernon Coleman'],Result for ['Algernon Coleman']
['Bertrand Evans'],Result for ['Bertrand Evans']
['Lynn Sermin Meskill'],Result for ['Lynn Sermin Meskill']
['Angela Kershaw'],Result for ['Angela Kershaw']
['Hans Kellner'],Result for ['Hans Kellner']
['Christine MacLeod'],Result for ['Christine MacLeod']
['W. Glyn Jones'],Result for ['W. Glyn Jones']
['Federico López-Terra'],Result for ['Federico López-Terra']
['Peter Haidu'],Result for ['Peter Haidu']
['James W. Tupper'],Result for ['James W. Tupper']
['C. A. Greer'],Result for ['C. A. Greer']
['J. L. Simmons'],Result for ['J. L. Simmons']
 patricia yaeger,Result for  patricia yaeger
['Roxana Verona'],Result for ['Roxana Verona']
['Wolfgang Keller'],Result for ['Wolfgang Keller']
['J. Glyn Davies'],Result for ['J. Glyn Davies']
 arthur pollard,Result for  arthur pollard
"[""James C. O'Neill""]","Result for [""James C. O'Neill""]"
['Jane Darcy'],Result for ['Jane Darcy']
['Kevin Corstorphine'],Result for ['Kevin Corstorphine']
['Thomas Fulton'],Result for ['Thomas Fulton']
['Alfred David'],Result for ['Alfred David']
['Frederick A. de Armas'],Result for ['Frederick A. de Armas']
['R. Girvan'],Result for ['R. Girvan']
['Virgil Nemoianu'],Result for ['Virgil Nemoianu']
['Marie-Claire Barnet'],Result for ['Marie-Claire Barnet']
['Laurence A. Breiner'],Result for ['Laurence A. Breiner']
['DAVID KURNICK'],Result for ['DAVID KURNICK']
['Barbara Nolan'],Result for ['Barbara Nolan']
['Gian-Paolo Biasin'],Result for ['Gian-Paolo Biasin']
['John S. Smart'],Result for ['John S. Smart']
['Kathleen M. Williams'],Result for ['Kathleen M. Williams']
['AMY SONHEIM'],Result for ['AMY SONHEIM']
['Jan Clarke'],Result for ['Jan Clarke']
['Joyce Hemlow'],Result for ['Joyce Hemlow']
['A. Callen'],Result for ['A. Callen']
['Michela Calore'],Result for ['Michela Calore']
['O. S. Fleissner'],Result for ['O. S. Fleissner']
['Stuart Nishan Green'],Result for ['Stuart Nishan Green']
['John G. Clark'],Result for ['John G. Clark']
['Ace G. Pilkington'],Result for ['Ace G. Pilkington']
['Arpi Sarafian'],Result for ['Arpi Sarafian']
['Tim Brennan'],Result for ['Tim Brennan']
['Brendan Quigley'],Result for ['Brendan Quigley']
['Edward Kearns'],Result for ['Edward Kearns']
['TOM McALINDON'],Result for ['TOM McALINDON']
['George Tyler Northup'],Result for ['George Tyler Northup']
['Barbara G. Mittman'],Result for ['Barbara G. Mittman']
['Anita Bunyan'],Result for ['Anita Bunyan']
['Caitríona Ní Dhúill'],Result for ['Caitríona Ní Dhúill']
 magalí armillastiseyra,Result for  magalí armillastiseyra
['Mary Hesse'],Result for ['Mary Hesse']
['James Dawes'],Result for ['James Dawes']
['Colin Smethurst'],Result for ['Colin Smethurst']
['Nigel Rothfels'],Result for ['Nigel Rothfels']
['JAMES WADE'],Result for ['JAMES WADE']
['Franççoise Le Saux'],Result for ['Franççoise Le Saux']
['Lawrence Buell'],Result for ['Lawrence Buell']
['Johan Gerritsen'],Result for ['Johan Gerritsen']
['DAVID COLCLOUGH'],Result for ['DAVID COLCLOUGH']
['Matthew Creasy'],Result for ['Matthew Creasy']
['Lynda Barry'],Result for ['Lynda Barry']
['Richard C. Taylor'],Result for ['Richard C. Taylor']
['Edward Wagenknecht'],Result for ['Edward Wagenknecht']
 marjorie l reyburn,Result for  marjorie l reyburn
['F. S.'],Result for ['F. S.']
['John D. Bernard'],Result for ['John D. Bernard']
['Peter Goodrich'],Result for ['Peter Goodrich']
['Judy Sproxton'],Result for ['Judy Sproxton']
['Alfred W. Hesse'],Result for ['Alfred W. Hesse']
['Roger B. Wilkenfeld'],Result for ['Roger B. Wilkenfeld']
 shuli barzilai,Result for  shuli barzilai
['Thomas Keenan'],Result for ['Thomas Keenan']
['Raymond S. Furness'],Result for ['Raymond S. Furness']
['ANDREW SCHEIL'],Result for ['ANDREW SCHEIL']
['Allan Pritchard'],Result for ['Allan Pritchard']
['Eve Kosofsky Sedgwick'],Result for ['Eve Kosofsky Sedgwick']
['Malcolm Jones'],Result for ['Malcolm Jones']
['Carlos J. Alonso'],Result for ['Carlos J. Alonso']
['Frank Mankiewicz'],Result for ['Frank Mankiewicz']
['Richard Waswo'],Result for ['Richard Waswo']
['Robert E. Lerner'],Result for ['Robert E. Lerner']
['David Carnegie'],Result for ['David Carnegie']
['Henry Regensteiner'],Result for ['Henry Regensteiner']
['Robert J. Meyer-Lee'],Result for ['Robert J. Meyer-Lee']
['A. Gill'],Result for ['A. Gill']
['Juergen Hahn'],Result for ['Juergen Hahn']
['Mark C. Amodio'],Result for ['Mark C. Amodio']
['Mary-Jo Arn'],Result for ['Mary-Jo Arn']
['Edward A. Block'],Result for ['Edward A. Block']
['Walter Edwin Peck'],Result for ['Walter Edwin Peck']
['T. P. Waldron'],Result for ['T. P. Waldron']
['John Koethe'],Result for ['John Koethe']
['James A. W. Heffernan'],Result for ['James A. W. Heffernan']
['Hans Albert Maier'],Result for ['Hans Albert Maier']
['Guyda Armstrong'],Result for ['Guyda Armstrong']
['Harold Orton'],Result for ['Harold Orton']
['Joan E. Ciruti'],Result for ['Joan E. Ciruti']
['Rosemary D. Ashton'],Result for ['Rosemary D. Ashton']
['Nicholas Hewitt'],Result for ['Nicholas Hewitt']
['George Kane'],Result for ['George Kane']
['SARAH DAVISON'],Result for ['SARAH DAVISON']
['Bernard Benstock'],Result for ['Bernard Benstock']
['Ann Smock'],Result for ['Ann Smock']
['Florence Street'],Result for ['Florence Street']
['Rebecca Beasley'],Result for ['Rebecca Beasley']
['N. J. Szenczi'],Result for ['N. J. Szenczi']
['Robin Sandra Grey'],Result for ['Robin Sandra Grey']
['Kirsty Cochrane'],Result for ['Kirsty Cochrane']
['Nicola Trott'],Result for ['Nicola Trott']
['Margaret Topping'],Result for ['Margaret Topping']
['Albert G. Hauf'],Result for ['Albert G. Hauf']
['Fred B. Millett'],Result for ['Fred B. Millett']
['Sylvia Tomasch'],Result for ['Sylvia Tomasch']
['Jeffrey N. Cox'],Result for ['Jeffrey N. Cox']
['Harry Caplan'],Result for ['Harry Caplan']
['Jules Dechamps'],Result for ['Jules Dechamps']
['William E. Alderman'],Result for ['William E. Alderman']
['Montserrat Roser i Puig'],Result for ['Montserrat Roser i Puig']
['Marc Fumaroli'],Result for ['Marc Fumaroli']
['Mary Vance Young'],Result for ['Mary Vance Young']
['Donald C. Dorian'],Result for ['Donald C. Dorian']
['Ann Baynes Coiro'],Result for ['Ann Baynes Coiro']
['Ward Tietz'],Result for ['Ward Tietz']
['Rosemary Lloyd'],Result for ['Rosemary Lloyd']
['Angus Nicholls'],Result for ['Angus Nicholls']
['Erika Swales'],Result for ['Erika Swales']
['John Scholte Nollen'],Result for ['John Scholte Nollen']
['Laura L. Runge'],Result for ['Laura L. Runge']
['N. H. Roe'],Result for ['N. H. Roe']
['Flavio Santi'],Result for ['Flavio Santi']
['Joseph H. Summers'],Result for ['Joseph H. Summers']
['Louis Marin'],Result for ['Louis Marin']
 walter benn michaels,Result for  walter benn michaels
['Christine Oertel Sjogren'],Result for ['Christine Oertel Sjogren']
['DENNIS AUSTIN BRITTON'],Result for ['DENNIS AUSTIN BRITTON']
['Isidore Silver'],Result for ['Isidore Silver']
['John Docker'],Result for ['John Docker']
['John J. Richetti'],Result for ['John J. Richetti']
['Gonda Van Steen'],Result for ['Gonda Van Steen']
['Robert Hewison'],Result for ['Robert Hewison']
['RICHARD GODDEN'],Result for ['RICHARD GODDEN']
['Frieda Bachmann'],Result for ['Frieda Bachmann']
['Hans Kurath'],Result for ['Hans Kurath']
 loulou mack,Result for  loulou mack
['Kenneth Forward'],Result for ['Kenneth Forward']
['Mark J. Temmer'],Result for ['Mark J. Temmer']
['Elizabeth Renker'],Result for ['Elizabeth Renker']
['Klaus L. Berghahn'],Result for ['Klaus L. Berghahn']
['Gerard Paul Sharpling'],Result for ['Gerard Paul Sharpling']
